state,clinton vote (decimal),black population (decimal),clinton vote (%),black population (%)
AL,0.778,0.2680,77.800,26.8000
AK,0.328,0.0470,32.800,4.7000
AZ,0.576,0.0500,57.600,5.0000
AR,0.663,0.1610,66.300,16.1000
CA,,0.0720,0,7.2000
CO,0.404,0.0500,40.400,5.0000
CT,,0.1130,0,11.3000
DE,,0.2290,0,22.9000
FL,0.645,0.1700,64.500,17.0000
GA,0.713,0.315,71.300,31.500
HI,0.3,0.0290,30.0,2.9000
ID,0.212,0.1000,21.200,10.0000
IL,0.505,0.1540,50.500,15.4000
IN,,0.1010,0,10.1000
IA,0.499,0.0370,49.900,3.7000
KS,0.323,0.0710,32.300,7.1000
KY,,0.087,0,8.700
LA,0.711,0.328,71.1,32.800
ME,0.355,0.0160,35.500,1.6000
MD,,0.309,0,30.900
MA,0.501,0.078,50.100,7.800
MI,0.483,0.1520,48.300,15.2000
MN,0.384,0.0620,38.400,6.2000
MS,0.826,0.376,82.600,37.600
MO,0.496,0.1250,49.600,12.5000
MT,,0.0080,0,0.8000
NE,0.429,0.054,42.900,5.400
NV,0.526,0.09,52.600,9.40
NH,0.38,0.0170,38.00,1.7000
NJ,,0.1480,0,14.8000
NM,,0.028,0,2.8
NY,,0.1720,0,17.2000
NC,0.546,0.226,54.600,22.600
ND,,0.0160,0,1.6000
OH,0.565,0.1340,56.500,13.4000
OK,0.415,0.0870,41.500,8.7000
OR,,0.0260,0,2.6000
PA,,0.119,0,11.900
RI,,0.074,0,7.400
SC,0.735,0.2880,73.500,28.8000
SD,,0.0180,0,1.8000
TN,0.661,0.1740,66.100,17.4000
TX,0.652,0.1260,65.200,12.6000
UT,0.203,0.0160,20.300,1.6000
VT,0.136,0.0150,13.600,1.5000
VA,0.643,0.2070,64.300,20.7000
WA,0.271,0.0480,27.100,4.8000
WV,,0.0420,0,4.2000
WI,,0.0710,0,7.1000
WY,,0.0130,0,1.3000
